building_id,lat,lng,building_size_category,property_tag,neighborhood_type,monthly_usage_kwh,load_type,blackout_frequency,average_blackout_duration_hrs,is_theft_simulated,expected_monthly_usage_kwh,risk_score,anomaly_reason
B0000,6.5910356,3.3944231,Large,Commercial,Commercial District,898.13,Constant,2,1,False,1013.3372222222222,8.6,Usage is within normal expected range compared to peers.
B0001,6.4236528,3.3395741,Small,Residential,Suburb,58.39,Constant,6,3,False,47.352999999999994,10.1,Usage is within normal expected range compared to peers.
B0002,6.4365198,3.4842526,Huge,Industrial,Commercial District,809.92,Constant Heavy,4,3,True,4032.0216666666665,89.9,Suspiciously low usage. More than 2 std devs below average (4032.0 kWh) for Huge Industrial buildings.
B0003,6.4369161,3.4189707,Huge,Residential,Commercial District,879.65,Morning/Evening Peak,3,2,False,843.0926315789474,11.3,Usage is within normal expected range compared to peers.
B0004,6.4225354,3.4107627,Large,Residential,Slum,454.14,Morning/Evening Peak,20,6,False,412.80782608695654,19.5,Usage is within normal expected range compared to peers.
B0005,6.4356163,3.4206612,Large,Industrial,Slum,1644.14,Constant Heavy,27,7,False,1901.3005555555558,24.8,Usage is within normal expected range compared to peers.
B0006,6.4464736,3.3751271,Huge,Commercial,Suburb,2718.71,Daytime Peak,2,4,False,2410.923448275862,14.0,Usage is within normal expected range compared to peers.
B0007,6.5919512,3.392841,Huge,Industrial,Suburb,999.12,Constant Heavy,4,3,True,4032.0216666666665,54.2,Noticeably below average (4032.0 kWh) for Huge Industrial buildings.
B0008,6.4251994,3.3369717,Medium,Residential,Suburb,122.59,Constant,9,3,False,143.5676,54.1,Noticeably below average (143.6 kWh) for Medium Residential buildings.
B0009,6.4489973,3.398052,Small,Residential,Dense Urban,41.47,Morning/Evening Peak,5,3,False,47.352999999999994,11.8,Usage is within normal expected range compared to peers.
B0010,6.4486803,3.397444,Small,Residential,Suburb,41.68,Constant,3,3,False,47.352999999999994,5.6,Usage is within normal expected range compared to peers.
B0011,6.4337898,3.4083752,Large,Commercial,Dense Urban,814.21,Daytime Peak,6,5,False,1013.3372222222222,54.9,Noticeably below average (1013.3 kWh) for Large Commercial buildings.
B0012,6.4329747,3.4698663,Small,Residential,Dense Urban,43.6,Constant,9,2,False,47.352999999999994,7.6,Usage is within normal expected range compared to peers.
B0013,6.5906532,3.3932426,Large,Residential,Commercial District,431.77,Erratic,2,1,False,412.80782608695654,26.3,Erratic load type is unusual for this property tag.
B0014,6.4409409,3.3880445,Huge,Industrial,Slum,845.64,Constant Heavy,21,4,True,4032.0216666666665,96.5,Suspiciously low usage. More than 2 std devs below average (4032.0 kWh) for Huge Industrial buildings.
B0015,6.4327428,3.4694276,Huge,Residential,Commercial District,814.24,Constant,5,1,False,843.0926315789474,8.0,Usage is within normal expected range compared to peers.
B0016,6.4563492,3.3837304,Large,Residential,Slum,425.79,Constant,29,10,False,412.80782608695654,20.5,Usage is within normal expected range compared to peers.
B0017,6.4678734,3.4451979,Small,Residential,Commercial District,52.55,Morning/Evening Peak,1,2,False,47.352999999999994,7.3,Usage is within normal expected range compared to peers.
B0018,6.4264639,3.338484,Large,Commercial,Suburb,959.27,Daytime Peak,6,5,False,1013.3372222222222,9.9,Usage is within normal expected range compared to peers.
B0019,6.5916133,3.3935774,Medium,Industrial,Dense Urban,640.89,Constant Heavy,5,4,False,718.9705,7.0,Usage is within normal expected range compared to peers.
B0020,6.4915609,3.3853538,Large,Industrial,Dense Urban,1867.88,Constant Heavy,15,5,False,1901.3005555555558,5.1,Usage is within normal expected range compared to peers.
B0021,6.4901153,3.3857744,Medium,Industrial,Dense Urban,667.07,Constant Heavy,7,5,False,718.9705,5.6,Usage is within normal expected range compared to peers.
B0022,6.4433895,3.3775258,Large,Commercial,Slum,1194.09,Daytime Peak,15,8,False,1013.3372222222222,13.4,Usage is within normal expected range compared to peers.
B0023,6.4454666,3.3759681,Huge,Commercial,Commercial District,2931.79,Daytime Peak,5,1,False,2410.923448275862,11.0,Usage is within normal expected range compared to peers.
B0024,6.446528,3.3750583,Large,Industrial,Suburb,2114.37,Constant Heavy,9,2,False,1901.3005555555558,14.5,Usage is within normal expected range compared to peers.
B0025,6.4626594,3.317566,Huge,Commercial,Commercial District,2635.35,Constant,4,1,False,2410.923448275862,12.0,Usage is within normal expected range compared to peers.
B0026,6.4496188,3.3974366,Large,Residential,Commercial District,472.24,Morning/Evening Peak,5,2,False,412.80782608695654,9.8,Usage is within normal expected range compared to peers.
B0027,6.4766848,3.3661286,Medium,Industrial,Slum,600.68,Constant Heavy,15,6,False,718.9705,48.6,Noticeably below average (719.0 kWh) for Medium Industrial buildings.
B0028,6.4484563,3.3971332,Large,Industrial,Dense Urban,1624.22,Constant Heavy,11,3,False,1901.3005555555558,10.5,Usage is within normal expected range compared to peers.
B0029,6.5916241,3.3928733,Medium,Industrial,Suburb,659.63,Constant Heavy,7,3,False,718.9705,9.6,Usage is within normal expected range compared to peers.
