building_id,lat,lng,building_size_category,property_tag,neighborhood_type,monthly_usage_kwh,load_type,blackout_frequency,average_blackout_duration_hrs,is_theft_simulated,risk_score,anomaly_reason,expected_monthly_usage_kwh
B0000,6.4540337,3.3480627,Medium,Residential,Dense Urban,168.66,Morning/Evening Peak,5,5,False,9.5,Usage is within normal expected range compared to peers.,143.95828
B0001,6.454411,3.3493993,Medium,Residential,Dense Urban,161.67,Morning/Evening Peak,5,6,False,6.2,Usage is within normal expected range compared to peers.,143.95828
B0002,6.4949828,3.3892346,Medium,Residential,Dense Urban,131.44,Morning/Evening Peak,10,5,False,6.7,Usage is within normal expected range compared to peers.,143.95828
B0003,6.4508263,3.3964265,Medium,Residential,Dense Urban,169.95,Morning/Evening Peak,15,5,False,5.1,Usage is within normal expected range compared to peers.,143.95828
B0004,6.4494804,3.3970214,Medium,Residential,Dense Urban,175.39,Morning/Evening Peak,9,2,False,12.1,Usage is within normal expected range compared to peers.,143.95828
B0005,6.439179,3.4066572,Medium,Residential,Dense Urban,124.3,Erratic,5,6,False,31.8,Erratic load type is unusual for this property tag.,143.95828
B0006,6.5663585,3.3243243,Medium,Residential,Dense Urban,178.3,Erratic,5,2,False,33.4,Erratic load type is unusual for this property tag.,143.95828
B0007,6.4435711,3.3772339,Medium,Residential,Dense Urban,128.87,Erratic,9,5,False,28.8,Erratic load type is unusual for this property tag.,143.95828
B0008,6.4332627,3.470223,Medium,Residential,Dense Urban,161.85,Constant,5,4,False,9.3,Usage is within normal expected range compared to peers.,143.95828
B0009,6.49473,3.388078,Medium,Residential,Dense Urban,129.76,Erratic,8,3,False,31.9,Erratic load type is unusual for this property tag.,143.95828
B0010,6.4702644,3.3697064,Medium,Residential,Dense Urban,154.31,Morning/Evening Peak,12,5,False,9.4,Usage is within normal expected range compared to peers.,143.95828
B0011,6.4548179,3.4041629,Medium,Residential,Dense Urban,154.48,Morning/Evening Peak,5,2,False,11.4,Usage is within normal expected range compared to peers.,143.95828
B0012,6.4433489,3.3779091,Medium,Residential,Dense Urban,171.65,Morning/Evening Peak,5,2,False,12.8,Usage is within normal expected range compared to peers.,143.95828
B0013,6.4256961,3.4079727,Medium,Residential,Dense Urban,160.26,Morning/Evening Peak,6,5,False,12.0,Usage is within normal expected range compared to peers.,143.95828
B0014,6.5910428,3.3945655,Medium,Residential,Dense Urban,129.66,Constant,10,4,False,6.4,Usage is within normal expected range compared to peers.,143.95828
B0015,6.4215666,3.4118408,Medium,Residential,Dense Urban,169.43,Constant,7,6,False,6.2,Usage is within normal expected range compared to peers.,143.95828
B0016,6.44929,3.3976452,Medium,Residential,Dense Urban,160.84,Morning/Evening Peak,11,5,False,14.9,Usage is within normal expected range compared to peers.,143.95828
B0017,6.4355471,3.4079927,Medium,Residential,Dense Urban,173.95,Constant,6,5,False,13.2,Usage is within normal expected range compared to peers.,143.95828
B0018,6.4251241,3.3361101,Medium,Residential,Dense Urban,166.14,Morning/Evening Peak,15,3,False,5.1,Usage is within normal expected range compared to peers.,143.95828
B0019,6.5922359,3.3929972,Medium,Residential,Dense Urban,140.39,Morning/Evening Peak,10,5,False,11.4,Usage is within normal expected range compared to peers.,143.95828
B0020,6.5905885,3.3937056,Medium,Residential,Dense Urban,159.44,Constant,5,2,False,5.8,Usage is within normal expected range compared to peers.,143.95828
B0021,6.4914415,3.3871191,Medium,Residential,Dense Urban,154.22,Constant,13,4,False,14.4,Usage is within normal expected range compared to peers.,143.95828
B0022,6.4315543,3.3394081,Medium,Residential,Dense Urban,162.22,Constant,14,4,False,14.2,Usage is within normal expected range compared to peers.,143.95828
B0023,6.5340862,3.310823,Medium,Residential,Dense Urban,153.91,Morning/Evening Peak,11,2,False,8.8,Usage is within normal expected range compared to peers.,143.95828
B0024,6.4910459,3.3863765,Medium,Residential,Dense Urban,165.35,Morning/Evening Peak,8,5,False,10.8,Usage is within normal expected range compared to peers.,143.95828
B0025,6.4356163,3.4206612,Medium,Residential,Dense Urban,150.89,Morning/Evening Peak,13,2,False,6.3,Usage is within normal expected range compared to peers.,143.95828
B0026,6.4233763,3.4087585,Medium,Residential,Dense Urban,169.24,Erratic,7,4,False,32.3,Erratic load type is unusual for this property tag.,143.95828
B0027,6.446528,3.3750583,Medium,Residential,Dense Urban,124.54,Erratic,10,5,False,30.1,Erratic load type is unusual for this property tag.,143.95828
B0028,6.4441255,3.3762155,Medium,Residential,Dense Urban,144.89,Morning/Evening Peak,12,6,False,10.5,Usage is within normal expected range compared to peers.,143.95828
B0029,6.4345175,3.4691507,Medium,Residential,Dense Urban,138.66,Constant,11,4,False,9.5,Usage is within normal expected range compared to peers.,143.95828
B0030,6.4903009,3.3852462,Medium,Residential,Dense Urban,131.94,Morning/Evening Peak,14,6,False,5.6,Usage is within normal expected range compared to peers.,143.95828
B0031,6.4342397,3.4696995,Medium,Residential,Dense Urban,21.83,Morning/Evening Peak,5,6,True,85.3,Suspiciously low usage. More than 2 std devs below average (144.0 kWh) for Medium Residential buildings.,143.95828
B0032,6.5906977,3.3937687,Medium,Residential,Dense Urban,149.76,Constant,8,5,False,12.1,Usage is within normal expected range compared to peers.,143.95828
B0033,6.4342875,3.4187166,Medium,Residential,Dense Urban,142.02,Morning/Evening Peak,13,5,False,6.5,Usage is within normal expected range compared to peers.,143.95828
B0034,6.4361267,3.4236509,Medium,Residential,Dense Urban,154.64,Morning/Evening Peak,7,3,False,10.5,Usage is within normal expected range compared to peers.,143.95828
B0035,6.4362099,3.4842568,Medium,Residential,Dense Urban,170.0,Morning/Evening Peak,11,4,False,12.7,Usage is within normal expected range compared to peers.,143.95828
